146,https://i.imgur.com/sfZfs4B.png,{'Dark Lord': 'Dunkler Lord'}
107,https://i.imgur.com/ib1wNoW.png,"{'Auror': 'Auror', 'Dementor': 'Dementor', 'Hogwarts': 'Hogwarts', 'Patronus': 'Patronus'}"
264,https://i.imgur.com/WoSZYfo.png,{}
320,https://i.imgur.com/cfmTzg9.png,"{'Department of Mysteries': 'Mysteriumsabteilung', 'Department': 'Abteilung'}"
15,https://i.imgur.com/K6s6np0.png,{}
371,https://i.imgur.com/Q1YMPHZ.png,{}
120,https://i.imgur.com/GhNPnMe.png,{}
149,https://i.imgur.com/8sg0Gpa.png,{'Grindelwald': 'Grindelwald'}
174,https://i.imgur.com/IIJFvtE.png,{}
175,https://i.imgur.com/x1LqSfA.png,{}
